precio;sub_descr;href;ubicacion;planta;otros;latitude;longitude;habitaciones;banios;mt2;CCAA
250.000 €;;/comprar/piso-casco_antiguo_san_julian41003-44250439074_527644/;San Julián (Distrito Casco Antiguo. Sevilla Capital);1ª planta;¡La casa agency feria presenta esta vivienda de 88 metros cuadrados en el solicitado barrio de san julián que espera por ti! Ubica...;37.3976166;-5.9843474;3 habs.;1 baño;88 m²;sevilla
235.000 €;;/comprar/chalet_adosado-oromana-39213670366_100900/;Oromana (Alcalá de Guadaíra);;"Si quieres tu propio hogar, con  garaje y un  amplio local independiente para ocio o trabajo, esta es tu vivienda. 
Casa construid...";37.3287232;-5.854553;3 habs.;;236 m²;sevilla
81.000 €;;/comprar/casa_adosada-huevar_del_aljarafe_centro_urbano-24174722955_100500/;Huévar del Aljarafe;;Casa, gran patio, dos terrazas y piscina al mejor precio. El inmueble necesita reformas. Si está buscando huir de la ciudad, disfr...;37.3576205;-6.2757518;4 habs.;1 baño;195 m²;sevilla
700.000 €;;/comprar/casa-santiponce_centro_urbano-43417402971_100500/;Santiponce;;Se vende impresionante vivienda de lujo de tres plantas, ubicada en una zona exclusiva de santiponce. Sobre una parcela de 410m² s...;37.4321206;-6.0446999;5 habs.;3 baños;410 m²;sevilla
370.000 €;Casa adosada en calle calle Ug5 & Ug6 del P.P Sen-1,  S/N;/comprar/casa_adosada-montequinto_el_colmenar41089-4594560211_109700/;Montequinto-El Colmenar (Dos Hermanas);;Vivienda 14. Casa adosada de obra nueva, de 141 m2 de superficie construida, y ubicada en la zona de Soto de la Vega.  Está distribuida en 5 habitaciones, 4 baños completos y terraza. Incluye extras como 2 plazas de garaje.;37,3328544;-5,925932;5 habs.;4 baños;141 m²;sevilla
285.000 €;;/comprar/casa-nervion_barrio41005-44258269219_527264/;Nervión (Distrito Nervión. Sevilla Capital);;"Casa de dos plantas mas azotea de 115 m² construidos y 70m² de parcela.
Distribuida en planta baja con recibidor, salon comedor (c...";37.3816465;-5.9615731;3 habs.;2 baños;115 m²;sevilla
156.626 €;Piso en Avenida Rafael Escuredo Rodríguez,  S/N;/comprar/piso-montequinto_el_colmenar41704-4491091526_109700/;Montequinto-El Colmenar (Dos Hermanas);1ª planta;Portal 5, 1º a. Piso en un edificio de obra nueva de 86 m² de superficie construida y ubicado en la zona de dos hermanas, enclavad...;37.3264197;-5.9315799;3 habs.;2 baños;86 m²;sevilla
238.000 €;Casa adosada en calle Manuel Piñero,  s/n;/comprar/casa_adosada-guillena_centro_urbano-4348929921_109700/;Guillena;;Uh1. Pl. Baja pt. 62. Casa adosada de obra nueva, de 115 m² de superficie construida, y ubicada en la zona de guillena.  Está dist...;37.5647829;-6.1012495;3 habs.;3 baños;115 m²;sevilla
47.235 €;;/comprar/casa-almaden_de_la_plata_centro_urbano-43356831492_100500/;Almadén de La Plata;;Esta casa es un tesoro en bruto esperando ser descubierto. Se ubica en una de las mejores calles del pueblo con unas magnificas vi...;37.874373;-6.0856313;3 habs.;1 baño;145 m²;sevilla
137.800 €;;/comprar/casa_unifamiliar-coria_del_rio_centro_urbano-45030862474_100200/;Coria del Río;;"Vivienda de esquina con 171 metros construidos. 
Con porche y entrada con san juan.
En planta baja consta de un dormitorio, cocina...";37.292595006;-6.048920357;5 habs.;;171 m²;sevilla
