"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K015","Transports i serveis relacionats","Autobusos nocturns","433325.69","4584758.522","433233.732","4584557.563","2.201158","41.409794","NITBUS -N8--","10","71","Sant Martí","Provençals del Poblenou","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","433918.043","4587718.982","433826.081","4587517.996","2.207921","41.436507","NITBUS -N8--","09","59","Sant Andreu","el Bon Pastor","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","425176.6","4582080.317","425084.717","4581879.386","2.103999","41.384955","NITBUS -N12--","04","21","Les Corts","Pedralbes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429059.746","4587844.303","428967.829","4587643.317","2.14976","41.43722","BUS -27-60-76-H4-M19--","07","43","Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428265.176","4583699.738","428173.265","4583498.791","2.140743","41.399822","BUS -V13--","05","26","Sarrià-Sant Gervasi","Sant Gervasi - Galvany","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428941.911","4587671.699","428849.995","4587470.715","2.14837","41.435655","BUS -27-60-76-H4-M19--","07","41","Horta-Guinardó","la Vall d'Hebron","",""
"K014","Transports i serveis relacionats","Autobusos diürns","426329.842","4581598.725","426237.948","4581397.798","2.117849","41.380724","BUS -V1--","04","20","Les Corts","la Maternitat i Sant Ramon","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429650.577","4585012.827","429558.653","4584811.867","2.157162","41.411771","BUS -116--","06","30","Gràcia","la Salut","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432149.267","4580268.16","432057.319","4580067.243","2.187588","41.369252","BUS -V19--","01","03","Ciutat Vella","la Barceloneta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","427968.547","4584848.844","427876.639","4584647.886","2.137058","41.410145","BUS -V13--","05","25","Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432207.523","4581193.364","432115.575","4580992.439","2.188181","41.37759","BUS -V15-V19--","01","03","Ciutat Vella","la Barceloneta","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","433662.338","4587615.069","433570.378","4587414.084","2.204872","41.43555","NITBUS -N8--","09","59","Sant Andreu","el Bon Pastor","",""
