CODI_CAPA,CAPA_GENERICA,NOM_CAPA,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD,EQUIPAMENT,DISTRICTE,BARRI,NOM_DISTRICTE,NOM_BARRI
K014,Transports i serveis relacionats,Autobusos diürns,424783.055,4586408.307,2.099829,41.425716,BUS -128--,5.0,22.0,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
K014,Transports i serveis relacionats,Autobusos diürns,424478.999,4586460.769,2.096184,41.42616,BUS -128--,5.0,22.0,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
K014,Transports i serveis relacionats,Autobusos diürns,429958.443,4585815.128,2.161828,41.420842,BUS -22--,7.0,37.0,Horta-Guinardó,el Carmel
K015,Transports i serveis relacionats,Autobusos nocturns,430277.606,4587880.063,2.165409,41.439467,NITBUS -N6--,8.0,48.0,Nou Barris,la Guineueta
K014,Transports i serveis relacionats,Autobusos diürns,430186.225,4583807.872,2.164786,41.402783,BUS -47-H8--,6.0,32.0,Gràcia,el Camp d'en Grassot i Gràcia Nova
K015,Transports i serveis relacionats,Autobusos nocturns,432322.964,4586738.156,2.190018,41.429358,NITBUS -N9--,9.0,60.0,Sant Andreu,Sant Andreu
K014,Transports i serveis relacionats,Autobusos diürns,429731.829,4579928.293,2.1598,41.367801,BUS -55-150--,3.0,11.0,Sants-Montjuïc,el Poble-sec
K014,Transports i serveis relacionats,Autobusos diürns,432748.173,4582187.188,2.195612,41.388404,BUS -59-V21-V27-136--,10.0,67.0,Sant Martí,la Vila Olímpica del Poblenou
K015,Transports i serveis relacionats,Autobusos nocturns,432748.173,4582187.188,2.195612,41.388404,NITBUS -N0-N15--,10.0,67.0,Sant Martí,la Vila Olímpica del Poblenou
K014,Transports i serveis relacionats,Autobusos diürns,427827.291,4586397.417,2.136259,41.425897,BUS -112--,7.0,39.0,Horta-Guinardó,Sant Genís dels Agudells
K015,Transports i serveis relacionats,Autobusos nocturns,430422.638,4588105.165,2.167119,41.441507,NITBUS -N4--,8.0,48.0,Nou Barris,la Guineueta
K014,Transports i serveis relacionats,Autobusos diürns,430663.566,4584420.603,2.170425,41.408343,BUS -47-H8--,7.0,33.0,Horta-Guinardó,el Baix Guinardó
K014,Transports i serveis relacionats,Autobusos diürns,432309.847,4589292.809,2.189575,41.452365,BUS -127--,9.0,57.0,Sant Andreu,la Trinitat Vella
K014,Transports i serveis relacionats,Autobusos diürns,431159.251,4580829.25,2.176764,41.376039,BUS -120--,1.0,1.0,Ciutat Vella,el Raval
K014,Transports i serveis relacionats,Autobusos diürns,430835.632,4580490.032,2.172933,41.372956,BUS -121--,3.0,11.0,Sants-Montjuïc,el Poble-sec
K014,Transports i serveis relacionats,Autobusos diürns,424498.189,4585456.079,2.096539,41.417113,BUS -118--,5.0,22.0,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
K014,Transports i serveis relacionats,Autobusos diürns,424331.184,4585582.619,2.094525,41.418237,BUS -118--,5.0,22.0,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes"
K014,Transports i serveis relacionats,Autobusos diürns,427583.956,4579813.294,2.134134,41.366575,BUS -V3--,3.0,16.0,Sants-Montjuïc,la Bordeta
K014,Transports i serveis relacionats,Autobusos diürns,428494.415,4585891.168,2.144302,41.421397,BUS -119--,7.0,38.0,Horta-Guinardó,la Teixonera
K014,Transports i serveis relacionats,Autobusos diürns,432012.986,4590822.012,2.185849,41.466113,BUS -197--,8.0,56.0,Nou Barris,Vallbona
K014,Transports i serveis relacionats,Autobusos diürns,431605.886,4590993.059,2.180955,41.467619,BUS -197--,8.0,56.0,Nou Barris,Vallbona
K014,Transports i serveis relacionats,Autobusos diürns,428940.9,4584873.304,2.149764,41.41227,BUS -116--,6.0,30.0,Gràcia,la Salut
K014,Transports i serveis relacionats,Autobusos diürns,429117.517,4584754.327,2.151891,41.411214,BUS -116--,6.0,30.0,Gràcia,la Salut
K014,Transports i serveis relacionats,Autobusos diürns,430633.112,4585848.937,2.169897,41.421205,BUS -117--,7.0,35.0,Horta-Guinardó,el Guinardó
