precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;planta;otros;latitude;longitude
1.050.000 €;Piso en Argüelles;/comprar/piso-moncloa_aravaca_arguelles28008-39214566004_149200/;Argüelles (Distrito Moncloa-Aravaca. Madrid Capital);3 habs.;2 baños;114 m²;1ª planta;"Única inmobiliaria pone a su disposición magnífico piso exterior totalmente reformado en una de las mejores zonas de argüelles.
El...";40.4261369;-3.7135042
4.300.000 €;Casa en calle del Guadiana;/comprar/casa-chamartin_el_viso28002-37541916236_100500/;El Viso (Distrito Chamartín. Madrid Capital);6 habs.;6 baños;692 m²;;Esta impresionante propiedad inmobiliaria cuenta con una vivienda unifamiliar aislada que se distribuye en tres plantas sobre rasa...;40.4483448;-3.6855544
1.090.000 €;Piso en calle de Zurbano;/comprar/piso-chamberi_almagro28010-40069515463_100500/;Almagro (Distrito Chamberí. Madrid Capital);3 habs.;3 baños;120 m²;2ª planta;Belton real estate ofrece piso situado en una finca de principios de siglo que se encuentra en la prestigiosa zona de almagro, en ...;40.440206;-3.6928815
133.800 €;Piso en Villaverde Alto;/comprar/piso-villaverde_san_cristobal-38334878479_102100/;San Cristóbal (Distrito Villaverde. Madrid Capital);2 habs.;1 baño;43 m²;;-oportunidad inversores: rentabilidad 6,5% anual- vivienda alquilada a una pareja española con solvencia probada, sin ningún probl...;40.341074;-3.6964527
250.000 €;Piso en calle de Germán Pérez Carrasco;/comprar/piso-ciudad_lineal_quintana-39248057338_100500/;Quintana (Distrito Ciudad Lineal. Madrid Capital);2 habs.;1 baño;73 m²;8ª planta;Vohome quintana, vende piso en octava planta con ascensor, en calle german perez carrasco, zona de quintana, distrito de ciudad li...;40.4363779;-3.6430652
629.000 €;Piso en calle de Colón, 10;/comprar/piso-salamanca_castellana28006-39244541763_109300/;Castellana (Distrito Salamanca. Madrid Capital);2 habs.;2 baños;64 m²;4ª planta;"Hermoso piso reformado a estrenar en pleno corazon de barrio salamanca 
No pierdas la oportunidad de vivir en este espectacular pi...";40.43515718;-3.68167658
A consultar;Piso en calle de Berástegui, 40;/comprar/piso-ciudad_lineal_pueblo_nuevo28017-39236458840_525207/;Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital);1 hab.;1 baño;50 m²;Bajo;"Calle berastegui

.- ten piso alcalá alquila excelente piso completamente a estrenar en la zona de pueblo nuevo, ubicado a dos cal...";40.427991266423255;-3.6413479536370037
1.049.000 €;Piso en calle de Fuencarral;/comprar/piso-justicia_chueca28004-37561406098_524671/;Justicia-Chueca (Distrito Centro. Madrid Capital);3 habs.;4 baños;128 m²;2ª planta;Studios y proyectos madrid vende piso reformado en chueca-justicia de 128m², 3 dormitorios dobles, 3 baños y 1 un aseo piso reform...;40.4224;-3.7007509
995.000 €;Piso en Metro Bilbao;/comprar/piso-rios_rosas28003-38369066426_100500/;Ríos Rosas (Distrito Chamberí. Madrid Capital);3 habs.;3 baños;145 m²;1ª planta;Mhg bienes raíces international group s. L. Presenta fantástico piso a estrenar, actualmente en reforma por estudio de arquitectur...;40.4391664;-3.6935813
995.000 €;Piso en Lista;/comprar/piso-lista_barrio28006-35030436792_526322/;Lista (Distrito Salamanca. Madrid Capital);2 habs.;2 baños;106 m²;1ª planta;Inmobiliaria san roman, vende esta vivienda de 106 metros cuadrados ( actualmente en obras. La reforma está prevista terminarla a ...;40.4294382;-3.6735863
362.000 €;Piso en calle de Esperanza Sánchez Carrascosa, 45;/comprar/piso-valdeacederas28029-3290594375_109700/;Valdeacederas (Distrito Tetuán. Madrid Capital);2 habs.;2 baños;82 m²;1ª planta;1º d. Piso en un inmueble de obra nueva de 82 m² de superficie construida y situado en la zona de madrid capital, acomodado en pla...;40.4685766;-3.7023504
445.000 €;Loft en Paseo de la Habana;/comprar/loft-chamartin_el_viso28036-99253214739_996542/;El Viso (Distrito Chamartín. Madrid Capital);;1 baño;60 m²;;"Loft en paseo de la habana en espacio único. 
Reforma a estrenar con diesño moderno, el dormitorio tiene una cama de matrimonio ex...";40.4485843;-3.6892848
629.000 €;Piso en calle de Ayala;/comprar/piso-goya28009-40098438003_109300/;Goya (Distrito Salamanca. Madrid Capital);2 habs.;2 baños;57 m²;;"De rojas servicios inmobiliarios pone a su disposición el inmueble ubicado en la calle ayala en el señorial barrio de salamanca. 
...";40.426919;-3.669344
950.000 €;Piso en Hispanoamérica;/comprar/piso-chamartin_hispanoamerica28016-35863120017_149200/;Hispanoamérica (Distrito Chamartín. Madrid Capital);2 habs.;2 baños;138 m²;1ª planta;Unica inmobiliaria chamartín ofrece  esta bonita  vivienda con un a luz espectacular durante todo el día , que fue reformada inter...;40.4525759;-3.6836589
649.000 €;Piso en calle de Goya;/comprar/piso-goya28009-39232697065_100500/;Goya (Distrito Salamanca. Madrid Capital);2 habs.;2 baños;62 m²;;¡Descubre tu nuevo hogar en una ubicación privilegiada! Este exclusivo inmueble, sometido a una impresionante reforma por prestigi...;40.425376;-3.6838182
348.000 €;Piso en Rios Rosas;/comprar/piso-chamberi_vallehermoso28003-915274917_102100/;Vallehermoso (Distrito Chamberí. Madrid Capital);2 habs.;1 baño;50 m²;;Gilmar chamberí vende un tranquilo apartamento recién reformado, distribuido con dos dormitorios, ambos con ventana, un baño, coci...;40.44081058;-3.700234991
150.000 €;Piso en Embajadores-Lavapiés;/comprar/piso-centro_embajadores_lavapies28012-39187199271_100200/;Embajadores-Lavapiés (Distrito Centro. Madrid Capital);2 habs.;1 baño;45 m²;2ª planta;Agencia inmobiliaria de madrid zona lavapies – embajadores – tirso de molina tecnocasa estudio real de lavapies sl vende piso de 4...;40.4098288;-3.7031828
215.000 €;Piso en Pueblo Nuevo;/comprar/piso-ciudad_lineal_pueblo_nuevo28017-37522073055_100200/;Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital);3 habs.;1 baño;82 m²;1ª planta;Tecnocasa agencia inmobiliaria de madrid zona barrio de bilbao - ascao - garcía noblejas - las rosas vende primera planta a actual...;40.4273176;-3.6382714
127.000 €;Piso en Hellín;/comprar/piso-san_blas_hellin28037-39261517108_100200/;Hellín (Distrito San Blas. Madrid Capital);3 habs.;1 baño;62 m²;4ª planta;'tecnocasa 'estudio hellín-las musas 2020 s. L. ' vende inmueble de 62 metros cuadrados construidos en la zona de hellín, san blas...;40.4286275;-3.6150848
460.000 €;Piso en Vallehermoso;/comprar/piso-chamberi_vallehermoso28003-40048823290_100200/;Vallehermoso (Distrito Chamberí. Madrid Capital);;2 baños;96 m²;4ª planta;"'tecnocasa guzman el bueno (registro de agentes profesionales inmobiliarios; rain nº000792/23) 'protección de consumidores y usuar...";40.446971;-3.710904
89.900 €;Piso en Portazgo;/comprar/piso-puente_de_vallecas_portazgo28038-39194887419_100200/;Portazgo (Distrito Puente de Vallecas. Madrid Capital);2 habs.;1 baño;55 m²;4ª planta;Agencia inmobiliaria tecnocasa vallecas zona portazgo, vende piso para entrar a vivir en la zona de buenos aires- tajamar, de 55 m...;40.391609204;-3.642169095
140.000 €;Piso en Los Rosales;/comprar/piso-villaverde_los_rosales28021-25871615911_102200/;Los Rosales (Distrito Villaverde. Madrid Capital);3 habs.;1 baño;101 m²;3ª planta;"Villaverde. Zona los rosales.

Se vende piso en edificio construido en el año 1976. Siendo una tercera y última planta. Sin ascens...";40.3531994;-3.6896275
759.950 €;Piso en Castellana;/comprar/piso-salamanca_castellana28006-35851767096_149200/;Castellana (Distrito Salamanca. Madrid Capital);2 habs.;2 baños;90 m²;1ª planta;Única inmobiliaria, tiene el placer de ofrecerte este estupendo piso en una distinguida finca clásica en la mejor zona del barrio ...;40.4382002;-3.6819178
335.000 €;Piso en calle del General Ricardos, 55;/comprar/piso-opanel28019-35890635495_101000/;Opañel (Distrito Carabanchel. Madrid Capital);3 habs.;2 baños;101 m²;;Te presentamos este maravilloso piso en venta, ubicado en la mejor zona de general ricardos. Este edificio representativo y difere...;40.3945295;-3.7211027
363.000 €;Piso en calle Victoria Kent,  s/n;/comprar/piso-los_berrocales28031-3377143514_109700/;Los Berrocales (Distrito Vicálvaro. Madrid Capital);3 habs.;2 baños;105 m²;2ª planta;"VI-1-3-1-P02-A. Piso en un inmueble de obra nueva de 105 m2 de superficie construida y situado en la zona de Madrid Capital, acomodado en planta 2. Está estructurado en 3 habitaciones, 2 baños completos y terraza. Aporta como extras ascensor, garaje y trastero.
** El precio mostrado en la tabla anterior para cada inmueble, incluye únicamente aquellos anejos (plazas de garaje y/o trastero) que hubiesen sido expresamente especificados en su descripción. En caso de no aparecer especificados, su precio no se entenderá incluido en el precio mostrado anteriormente. El precio mostrado lo es sin incluir impuestos. Los inmuebles identificados están sujetos, en todo caso, a disponibilidad.";40,3988829;-3,5585481
859.000 €;Piso en calle del Carmen;/comprar/piso-sol_barrio28013-35001106498_526188/;Sol (Distrito Centro. Madrid Capital);3 habs.;3 baños;94 m²;5ª planta;Inmobiliaria san román vende esta vivienda de 94 metros construidos completamente amueblada y reformada (magníficas calidades) dis...;40.4191565;-3.7049636
159.000 €;Piso en Vallecas;/comprar/piso-palomeras_sureste28018-33425686610_101000/;Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital);3 habs.;2 baños;94 m²;;La vivienda se encuentra en la zona de vallecas- retamar. Está situada en la segunda planta de un edificio de 11 alturas que cuent...;40.3810777;-3.6465215
146.000 €;Piso en calle de Berástegui, 40;/comprar/piso-ciudad_lineal_pueblo_nuevo28017-38357524171_525207/;Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital);1 hab.;1 baño;50 m²;Bajo;"En ten piso alcalá, comenzamos a ofrecer la venta de 4 viviendas completamente a estrenar!!
Viviendas ya terminadas y decoradas, v...";40.427991266423255;-3.6413479536370037
