precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta
795.000 €;Piso en Cortes-Huertas;/comprar/piso-cortes_huertas28012-40922037435_108500/;Cortes-Huertas (Distrito Centro. Madrid Capital);1 hab.;1 baño;109 m²;Bek properties presenta este piso totalmente reformado y amueblado con un gusto exquisito. Se encuentra en un edificio de 1880, se...;40.4144274;-3.7029336;
698.700 €;Piso en Valverde;/comprar/piso-fuencarral_el_pardo_valverde28034-40923908252_101800/;Valverde (Distrito Fuencarral-El Pardo. Madrid Capital);4 habs.;4 baños;290 m²;"Estupenda casa independiente a estrenar en tres olivos -valverde fuencarral

En el pueblo de fuencarral, nos encontramos con esta ...";40.4969964;-3.6872196;
3.950.000 €;Apartamento en Almagro;/comprar/apartamento-chamberi_almagro28004-39176357371_106200/;Almagro (Distrito Chamberí. Madrid Capital);4 habs.;5 baños;304 m²;Lucas fox presenta este piso único, situado en una de las zonas más cotizadas del barrio de almagro a escasos metros de la cotizad...;40.4260218;-3.6920468;
799.000 €;Piso en calle del Maestro Guerrero;/comprar/piso-universidad_malasana28015-39225516152_525909/;Universidad-Malasaña (Distrito Centro. Madrid Capital);2 habs.;2 baños;74 m²;El estudio se ha  renovado completamente. La ubicación del inmueble es excelente. Cuenta con dos habitaciones, una de ellas con ba...;40.4241687;-3.7104177;4ª planta
370.000 €;Piso en calle de la Infanta Mercedes, 73;/comprar/piso-castillejos28020-39234127569_511798/;Castillejos (Distrito Tetuán. Madrid Capital);2 habs.;1 baño;77 m²;Haro gestión inmobiliaria comercializa estupendo ático de 77 m² en la prestigiosa zona de cúzco muy próxima a la calle sor angela ...;40.4611746808843;-3.6961451859682946;5ª planta
205.000 €;Piso en Aluche;/comprar/piso-latina_aluche28024-39190639029_100500/;Aluche (Distrito Latina. Madrid Capital);3 habs.;1 baño;72 m²;Si te gusta disfrutar de la luz natural en casa, tener vistas a zonas verdes y vivir en un espacio de tranquilidad y serenidad, si...;40.3950927;-3.7695106;2ª planta
795.000 €;Casa adosada en calle de Versalles;/comprar/casa_adosada-arcos28032-38350481188_100500/;Arcos (Distrito San Blas. Madrid Capital);4 habs.;3 baños;223 m²;"¡¡¡ No cobramos honorarios al comprador!!!
Asesores inmobiliarios las rosas, pone a su disposición un chalet adosado en la zona ar...";40.4168197;-3.6164939;
5.250.000 €;Ático en Justicia-Chueca;/comprar/atico-justicia_chueca28004-39249996621_996152/;Justicia-Chueca (Distrito Centro. Madrid Capital);4 habs.;6 baños;408 m²;Inmoboulevad pone en venta este excelente atico con una terraza de orientación sur de 31 m², con 4 dormitorios y 5 cuartos de baño...;40.427635;-3.6986378;
229.000 €;Piso en calle de Maricara;/comprar/piso-butarque28021-40848016083_106000/;Butarque (Distrito Villaverde. Madrid Capital);2 habs.;2 baños;72 m²;"*obra nueva*
Vivienda libre, en régimen de cooperativa de 2 dormitorios con armarios empotrados, 2 baños, con amplio salón-comedor...";40.3390061;-3.679318;6ª planta
139.500 €;Piso en Avenida de la Albufera;/comprar/piso-numancia28038-38424003302_521500/;Numancia (Distrito Puente de Vallecas. Madrid Capital);3 habs.;1 baño;60 m²;Vallecas - numancia - piso exterior de 60 m² construidos para reformar, ubicado en la cuarta planta de un edificio sin ascensor!!....;40.3925824;-3.6580117;4ª planta
299.000 €;Piso en calle de Carrero Juan Ramón;/comprar/piso-madrid_capital_zona_urbana-40837696813_516943/;Madrid Capital;4 habs.;2 baños;120 m²;"Tu nueva casa pone a la venta este amplio piso ubicado en calle de carrero juan ramón, situado en el distrito de carabanchel.
Es u...";40.3793288;-3.7289062;2ª planta
2.795.000 €;Chalet pareado en Mirasierra;/comprar/chalet_pareado-fuencarral_el_pardo_valverde28034-39245036664_102100/;Valverde (Distrito Fuencarral-El Pardo. Madrid Capital);6 habs.;7 baños;539 m²;Chalet pareado con 6 habitaciones y 7 baños, superficie util de 539 metros cuadrados, superficie solar 750, superficie construida ...;40.48747;-3.6916794;
469.000 €;Piso en calle de San Bernardo, 51;/comprar/piso-universidad_malasana28015-40075765677_100500/;Universidad-Malasaña (Distrito Centro. Madrid Capital);3 habs.;1 baño;82 m²;¡La mejor inversión en el pleno centro de madrid! En edificio del año 1900, situado en la calle san bernardo, en el tramo entre gr...;40.4255;-3.70761;1ª planta
760.000 €;Apartamento en Ibiza;/comprar/apartamento-ibiza28009-38376163416_106200/;Ibiza (Distrito Retiro. Madrid Capital);2 habs.;2 baños;100 m²;Lucas fox presenta este bonito piso recién reformado de 100 m² construidos, con dos dormitorios y dos baños. Está ubicado a tan so...;40.4179183;-3.6730201;
695.000 €;Apartamento en Goya;/comprar/apartamento-goya28006-38408538590_106200/;Goya (Distrito Salamanca. Madrid Capital);2 habs.;2 baños;80 m²;Lucas fox madrid presenta esta magnífica vivienda completamente reformada y amueblada en el barrio de castellana, con dos dormitor...;40.42580034;-3.674072519;
270.000 €;Piso en calle del Abad Juan Catalán;/comprar/piso-vicalvaro_ambroz28032-38412926935_108900/;Ambroz (Distrito Vicálvaro. Madrid Capital);2 habs.;2 baños;84 m²;Estupendo piso 84 m², 2 dormitorios salón, comedor cocina totalmente equipada y amueblada baño con plato de ducha, y piscina comun...;40.4054557;-3.5924463;
