OBJECTID,OBJECTID_1,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,stop_name,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,stop_id,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
11.0,12375.0,5_25,20170530.0,5.0,25.0,DELICIAS,,S,25.0,18004.0,,92.0,181.0,U,28.0,79.0,7901.0,790101.0,05084,Calle,de,Ramírez de Prado,N,3,B,,28045.0,2.0,52.0,25.0,T07910929,790101617.0,,4.0,A,1.0,079-02-035,35.0,73.0,559-3,2.0,3.0,20030331.0,19860101.0,,441322.0,4472634.0,P,,,,,,,,,,,,,,,
,,,,,,DOS CASTILLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_19,19.0,Via de las Dos Castillas 11 D,40.43253,-3.80162,B1,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,ESTACION DE ARAVACA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_23,23.0,Calle de la Golondrina 104,40.44833,-3.78591,A,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,ESTRELLA POLAR NORTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_64,64.0,Avda de las Estrellas 14,40.23015,-3.75112,B2,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,ESTRELLA POLAR SUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_65,65.0,Avda de los Planetas 9,40.23072,-3.75383,B2,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,FERIAL DE BOADILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_33,33.0,Ctra de Boadilla-Villaviciosa 13 A,40.40196,-3.87938,B2,http://www.crtm.es,0.0,,Europe/Madrid,2.0
7.0,13488.0,5_133,20170530.0,5.0,133.0,FUENTE DE LA MORA,,I,133.0,98003.0,,92.0,102.0,U,28.0,79.0,7901.0,790101.0,C0361,Calle,de,Dulce Chacón,N,15,,,28050.0,16.0,106.0,166.0,T0791209,790101154.0,4.0,7.0,A,1.0,079-16-436,436.0,,559-2,2.0,3.0,20110329.0,20110329.0,,443933.0,4481980.0,T,,,,,par_10_2,2.0,Calle de Dulce Chacón 15,40.48482,-3.66325,A,http://www.crtm.es,0.0,,Europe/Madrid,2.0
7.0,13488.0,5_133,20170530.0,5.0,133.0,FUENTE DE LA MORA,,I,133.0,98003.0,,92.0,102.0,U,28.0,79.0,7901.0,790101.0,C0361,Calle,de,Dulce Chacón,N,15,,,28050.0,16.0,106.0,166.0,T0791209,790101154.0,4.0,7.0,A,1.0,079-16-436,436.0,,559-2,2.0,3.0,20110329.0,20110329.0,,443933.0,4481980.0,T,,,,,est_10_2,2.0,Calle de Dulce Chacón 15,40.48482,-3.66325,A,http://www.crtm.es,1.0,,Europe/Madrid,2.0
9.0,10540.0,5_106,20170530.0,5.0,106.0,"GARENA, LA",,E,106.0,70111.0,,92.0,218.0,U,28.0,5.0,501.0,50101.0,07030,Calle, ,Fausto Elhuyar,N,6,,,28806.0,8.0,29.0,,T005907,50101050.0,,2.0,B3,3.0,005-008,864.0,,560-1,2.0,3.0,20040929.0,20040101.0,,466785.0,4481365.0,P,,,,,,,,,,,,,,,
1.0,12534.0,5_38,20170530.0,5.0,38.0,GUADALAJARA,Estación RENFE,S,38.0,70200.0,,93.0,224.0,U,19.0,130.0,13002.0,1300201.0,99999,Plaza,de la,Estación,SN,SN,,,,1.0,1.0,,T1301,1300201001.0,,,C2,, ,0.0,28.0,536-1,2.0,3.0,20030331.0,19860101.0,,484688.0,4499472.0,N,,,,,,,,,,,,,,,
,,,,,,IGLESIA CENTRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_54,54.0,Calle   Real 28,40.23771,-3.77059,B2,http://www.crtm.es,0.0,,Europe/Madrid,2.0
,,,,,,INFANTE DON LUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,par_10_37,37.0,Avda del Siglo XXI 11,40.40595,-3.89741,B2,http://www.crtm.es,0.0,,Europe/Madrid,2.0
